Source-PCR-Plate	Run-ID	Project-ID	CGR-Sample-ID	Sample-Type	Sample-Des	Subject-ID	Reciept	Ext-Company	Ext-Kit	Ext-Robotics	Homo-Status	Homo-Method	Homo-Holder	input	filtered	denoised	merged	non-chimeric	Sequence_count
PC04924	Run1	NP0084-MB4	SC284724	Seq_Control	MSA	MSA1000								156844	117368	117368	108161	94113	156844
PC04924	Run1	NP0084-MB4	SC284725	Seq_Control	MSA	MSA1001								128819	98888	98888	93463	81631	128819
PC04924	Run1	NP0084-MB4	SC284726	Seq_Control	MSA	MSA1002								166125	115152	115152	105007	95010	166125
PC04924	Run1	NP0084-MB4	SC284727	Seq_Control	MSA	MSA1003								146609	93934	93934	80002	70921	146609
PC04925	Run2	NP0084-MB4	SC284730	Seq_Control	MSA	MSA1000								162325	146316	146316	142828	121737	162325
PC04925	Run2	NP0084-MB4	SC284731	Seq_Control	MSA	MSA1001								118299	108976	108976	107206	93326	118299
PC04925	Run2	NP0084-MB4	SC284732	Seq_Control	MSA	MSA1002								144504	124701	124701	117984	103749	144504
PC04925	Run2	NP0084-MB4	SC284733	Seq_Control	MSA	MSA1003								155060	131923	131923	120551	104872	155060
PC07578	Run3	NP0084-MB5	SC326764	Seq_Control	MSA	MSA1001								149904	121949	121949	119930	106842	149904
PC07578	Run3	NP0084-MB5	SC326765	Seq_Control	MSA	MSA1002								175315	130730	130730	122692	111720	175315
PC07578	Run3	NP0084-MB5	SC326766	Seq_Control	MSA	MSA1003								169905	118849	118849	103561	92277	169905
PC22190	Run4	NP0084-MB6	SC555339	Seq_Control	MSA	MSA1001								37615	35264	35264	34685	29682	37615
PC22190	Run4	NP0084-MB6	SC555341	Seq_Control	MSA	MSA1000								40148	36966	36966	36040	35640	40148
PC22190	Run4	NP0084-MB6	SC555342	Seq_Control	MSA	MSA1002								34286	29984	29984	28191	25198	34286
PC22190	Run4	NP0084-MB6	SC555343	Seq_Control	MSA	MSA1003								45313	40348	40348	36508	32241	45313
PC22192	Run4	NP0084-MB6	SC555346	Seq_Control	MSA	MSA1002								48935	44344	44344	41582	37436	48935
PC22192	Run4	NP0084-MB6	SC555347	Seq_Control	MSA	MSA1000								46724	43598	43598	41530	40859	46724
PC22192	Run4	NP0084-MB6	SC555349	Seq_Control	MSA	MSA1001								62086	58180	58180	57353	49511	62086
PC22192	Run4	NP0084-MB6	SC555350	Seq_Control	MSA	MSA1003								48859	44266	44266	40252	35255	48859
PC04924	Run1	NP0084-MB4	SC284728	Seq_Control	ZymoBiomics	D6305								136927	99783	99783	92034	80068	136927
PC04924	Run1	NP0084-MB4	SC284729	Seq_Control	ZymoBiomics	D6306								135305	93309	93309	85507	73800	135305
PC22190	Run4	NP0084-MB6	SC555344	Seq_Control	ZymoBiomics	D6306								41845	38268	38268	36984	29662	41845
PC22192	Run4	NP0084-MB6	SC555345	Seq_Control	ZymoBiomics	D6306								46757	42771	42771	41048	31926	46757
PC22192	Run4	NP0084-MB6	SC555348	Seq_Control	ZymoBiomics	D6305								55692	51344	51344	49895	40819	55692
PC22192	Run4	NP0084-MB6	SC555351	Seq_Control	ZymoBiomics	D6311								39931	37211	37211	37123	36684	39931
PC04925	Run2	NP0084-MB4	SC284734	Seq_Control	ZymoBiomics	D6305								121033	109263	109263	104484	88377	121033
PC04925	Run2	NP0084-MB4	SC284735	Seq_Control	ZymoBiomics	D6306								130186	114829	114829	108961	91422	130186
PC07578	Run3	NP0084-MB5	SC326767	Seq_Control	ZymoBiomics	D6305								152901	117235	117235	113503	102863	152901
PC07578	Run3	NP0084-MB5	SC326768	Seq_Control	ZymoBiomics	D6306								157461	116822	116822	112201	94147	157461
PC22190	Run4	NP0084-MB6	SC555338	Seq_Control	ZymoBiomics	D6311								21707	20270	20270	20183	19983	21707
PC22190	Run4	NP0084-MB6	SC555340	Seq_Control	ZymoBiomics	D6305								35786	32798	32798	31905	26727	35786
PC22190	Run4	NP0084-MB6	SC502454	Ext_Control	art_col	DZ35322	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	40658	37051	37051	35512	35233	40658
PC22192	Run4	NP0084-MB6	SC552982	Ext_Control	art_col	DZ35316	sFEMB-001-R-039	Qiagen	DNeasy PowerSoil Pro kit	None	Altered	Vertical	Tubes	46549	41895	41895	35726	29534	46549
PC22190	Run4	NP0084-MB6	SC552997	Ext_Control	art_col	DZ35316	sFEMB-001-R-040	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Altered	TissueLyzer	Plate	42879	39423	39423	32836	29841	42879
PC22190	Run4	NP0084-MB6	SC552980	Ext_Control	Ext_Blank	Water	sFEMB-001-R-039	Qiagen	DNeasy PowerSoil Pro kit	None	Altered	Vertical	Tubes	11982	11120	11120	10934	10901	11982
PC22192	Run4	NP0084-MB6	SC552989	Ext_Control	Ext_Blank	Water	sFEMB-001-R-039	Qiagen	DNeasy PowerSoil Pro kit	None	Altered	Vertical	Tubes	3010	2794	2794	2727	2727	3010
PC22190	Run4	NP0084-MB6	SC552991	Ext_Control	Ext_Blank	Water	sFEMB-001-R-040	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Altered	TissueLyzer	Plate	42786	39227	39227	38587	38583	42786
PC22192	Run4	NP0084-MB6	SC552995	Ext_Control	Ext_Blank	Water	sFEMB-001-R-040	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Altered	TissueLyzer	Plate	56507	50353	50353	48945	46802	56507
PC22190	Run4	NP0084-MB6	SC553004	Ext_Control	Ext_Blank	Water	sFEMB-001-R-040	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Altered	TissueLyzer	Plate	42784	39903	39903	39625	39601	42784
PC22192	Run4	NP0084-MB6	SC502441	Study	human_1	human_1	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	53664	49652	49652	47062	37901	53664
PC22190	Run4	NP0084-MB6	SC502443	Study	human_1	human_1	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	47380	42360	42360	40413	32106	47380
PC22192	Run4	NP0084-MB6	SC502444	Study	human_1	human_1	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	59762	52995	52995	50628	38646	59762
PC22190	Run4	NP0084-MB6	SC502447	Study	human_1	human_1	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	37219	34292	34292	32271	24985	37219
PC22192	Run4	NP0084-MB6	SC502448	Study	human_1	human_1	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	49455	45642	45642	43112	33780	49455
PC22192	Run4	NP0084-MB6	SC553000	Study	human_1	human_1	sFEMB-001-R-040	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Altered	TissueLyzer	Plate	53886	50067	50067	48174	41357	53886
PC22190	Run4	NP0084-MB6	SC502453	Study	Robogut	DZ35298	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	36076	33387	33387	32809	32547	36076
PC22192	Run4	NP0084-MB6	SC552978	Study	Robogut	DZ35298	sFEMB-001-R-039	Qiagen	DNeasy PowerSoil Pro kit	None	Altered	Vertical	Tubes	50300	46667	46667	45322	42557	50300
PC22190	Run4	NP0084-MB6	SC552993	Study	Robogut	DZ35298	sFEMB-001-R-040	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Altered	TissueLyzer	Plate	35811	33232	33232	32651	30584	35811
PC22190	Run4	NP0084-MB6	SC502451	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	38202	32590	32590	32057	32016	38202
PC22192	Run4	NP0084-MB6	SC502452	Ext_Control	ZymoBiomics	D6310	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	48364	44749	44749	43602	40252	48364
PC22190	Run4	NP0084-MB6	SC552987	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-039	Qiagen	DNeasy PowerSoil Pro kit	None	Altered	Vertical	Tubes	39650	36322	36322	34838	22672	39650
PC22190	Run4	NP0084-MB6	SC552990	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-039	Qiagen	DNeasy PowerSoil Pro kit	None	Altered	Vertical	Tubes	32476	30428	30428	30293	29695	32476
PC22190	Run4	NP0084-MB6	SC553002	Ext_Control	ZymoBiomics	D6300	sFEMB-001-R-040	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Altered	TissueLyzer	Plate	29624	27378	27378	26524	22132	29624
PC22190	Run4	NP0084-MB6	SC510683	Ext_Control	ZymoBiomics	D6310	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	46452	42688	42688	42571	42402	46452
PC22192	Run4	NP0084-MB6	SC510684	Ext_Control	ZymoBiomics	D6310	sFEMB-001-R-034	Qiagen	DNeasy PowerSoil Pro kit	QIACube HT	Altered	Vertical	Tubes	40161	37305	37305	37151	36987	40161
PC22192	Run4	NP0084-MB6	SC552988	Ext_Control	ZymoBiomics	D6310	sFEMB-001-R-039	Qiagen	DNeasy PowerSoil Pro kit	None	Altered	Vertical	Tubes	45069	42235	42235	42104	41356	45069
PC22192	Run4	NP0084-MB6	SC553003	Ext_Control	ZymoBiomics	D6310	sFEMB-001-R-040	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Altered	TissueLyzer	Plate	41232	38394	38394	38133	36951	41232
PC22192	Run4	NP0084-MB6	SC553068	Ext_Control	Ext_Blank	Water	sFEMB-001-R-051	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Covaris	AFA	Tubes	39913	37270	37270	37066	36230	39913
PC22190	Run4	NP0084-MB6	SC553066	Study	human_1	human_1	sFEMB-001-R-051	Qiagen	MagAttract PowerSoil DNA Kit	KingFisher	Covaris	AFA	Tubes	42030	38976	38976	37232	31761	42030
PC22192	Run4	NP0084-MB6	SC553069	Study	human_1	human_1	sFEMB-001-R-052	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Covaris	AFA	Tubes	48292	45132	45132	43564	39482	48292
PC22190	Run4	NP0084-MB6	SC553070	Study	human_1	human_1	sFEMB-001-R-052	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Covaris	AFA	Tubes	44134	41073	41073	39602	36261	44134
PC22192	Run4	NP0084-MB6	SC553071	Study	human_1	human_1	sFEMB-001-R-052	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Covaris	AFA	Tubes	58431	53347	53347	51660	45947	58431
PC22190	Run4	NP0084-MB6	SC553072	Study	human_1	human_1	sFEMB-001-R-052	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Covaris	AFA	Tubes	38473	35588	35588	34196	32478	38473
PC22192	Run4	NP0084-MB6	SC553073	Study	human_1	human_1	sFEMB-001-R-052	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Covaris	AFA	Tubes	54994	51379	51379	49212	42140	54994
PC22190	Run4	NP0084-MB6	SC553074	Study	human_1	human_1	sFEMB-001-R-052	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Covaris	AFA	Tubes	41202	38281	38281	37111	33661	41202
PC22192	Run4	NP0084-MB6	SC553075	Study	human_1	human_1	sFEMB-001-R-052	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Covaris	AFA	Tubes	52727	48024	48024	46671	43144	52727
PC22190	Run4	NP0084-MB6	SC553076	Study	human_1	human_1	sFEMB-001-R-052	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Covaris	AFA	Tubes	44885	41984	41984	41134	37727	44885
PC22192	Run4	NP0084-MB6	SC553077	Study	human_1	human_1	sFEMB-001-R-052	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Covaris	AFA	Tubes	56332	52821	52821	51181	45427	56332
PC22190	Run4	NP0084-MB6	SC553078	Study	human_1	human_1	sFEMB-001-R-052	Qiagen	MagAttract PowerMicrobiome Kit	KingFisher	Covaris	AFA	Tubes	40090	37230	37230	36565	35837	40090
PC22192	Run4	NP0084-MB6	SC553084	Study	human_1	human_1	sFEMB-001-R-053	Qiagen	DNeasy PowerSoil Pro kit	None	Covaris	AFA	Tubes	51007	46706	46706	44634	36844	51007
