Sample ID	CGR-Sample-ID	Sample-Type	GM-Rack	VC	QDNA	Yield NG
SC249387-PC04925-G-01	SC249387	Ext.Control	PC01717	1.0	0.0	0.0
SC249387-PC07578-G-01	SC249387	Ext.Control	PC01717	1.0	0.0	0.0
SC249406	SC249406	Ext.Control	PC01719	16.0	0.0	0.0
SC249389	SC249389	Study	PC01717	16.0	0.0	0.0
SC249450	SC249450	Ext.Control	PC01722	16.0	0.0	0.0
SC249415	SC249415	Ext.Control	PC01719	16.0	0.0	0.0
SC249438	SC249438	Ext.Control	PC01721	16.0	0.0	0.0
SC249444	SC249444	Ext.Control	PC01722	16.0	0.0	0.0
SC261525-PC04925-D-10	SC261525	Ext.Control	PC03133	66.0	0.0	0.0
SC261525-PC07578-D-10	SC261525	Ext.Control	PC03133	66.0	0.0	0.0
SC249393	SC249393	Ext.Control	PC01717	16.0	0.0	0.0
SC249409	SC249409	Ext.Control	PC01719	16.0	0.0	0.0
SC249394	SC249394	Study	PC01718	0.0	0.0	0.0
SC249395	SC249395	Ext.Control	PC01718	0.0	0.0	0.0
SC249396-PC04924-A-04	SC249396	Study	PC01718	0.0	0.0	0.0
SC249396-PC04925-A-02	SC249396	Study	PC01718	0.0	0.0	0.0
SC249397	SC249397	Ext.Control	PC01718	0.0	0.0	0.0
SC249398	SC249398	Study	PC01718	0.0	0.0	0.0
SC249399-PC04924-D-04	SC249399	Study	PC01718	0.0	0.0	0.0
SC249399-PC04925-B-02	SC249399	Study	PC01718	0.0	0.0	0.0
SC249400	SC249400	Ext.Control	PC01718	0.0	0.0	0.0
SC249401	SC249401	Study	PC01718	0.0	0.0	0.0
SC249403	SC249403	Ext.Control	PC01718	0.0	0.0	0.0
SC249404	SC249404	Ext.Control	PC01718	0.0	0.0	0.0
SC249405-PC04924-A-05	SC249405	Study	PC01718	0.0	0.0	0.0
SC249405-PC04925-C-02	SC249405	Study	PC01718	0.0	0.0	0.0
SC261515-PC04925-H-11	SC261515	Study	PC03132	0.0	0.0	0.0
SC261515-PC07578-H-11	SC261515	Study	PC03132	0.0	0.0	0.0
SC261516-PC04925-H-10	SC261516	Study	PC03132	0.0	0.0	0.0
SC261516-PC07578-H-10	SC261516	Study	PC03132	0.0	0.0	0.0
SC261517-PC04925-B-11	SC261517	Study	PC03132	0.0	0.0	0.0
SC261517-PC07578-F-01	SC261517	Study	PC03132	0.0	0.0	0.0
SC261518	SC261518	Ext.Control	PC03132	0.0	0.0	0.0
SC261522-PC04925-F-11	SC261522	Ext.Control	PC03132	0.0	0.0	0.0
SC261522-PC07578-F-11	SC261522	Ext.Control	PC03132	0.0	0.0	0.0
SC261523-PC04925-G-10	SC261523	Study	PC03132	0.0	0.0	0.0
SC261523-PC07578-G-10	SC261523	Study	PC03132	0.0	0.0	0.0
SC261524-PC04925-H-09	SC261524	Ext.Control	PC03132	0.0	0.0	0.0
SC261524-PC07578-H-09	SC261524	Ext.Control	PC03132	0.0	0.0	0.0
SC249443-PC04924-D-09	SC249443	Ext.Control	PC01722	1.0	0.0	0.0
SC249443-PC07578-E-05	SC249443	Ext.Control	PC01722	1.0	0.0	0.0
SC249413	SC249413	Ext.Control	PC01719	16.0	0.1	1.3
SC249428	SC249428	Ext.Control	PC01720	16.0	0.2	2.7
SC249427	SC249427	Ext.Control	PC01720	16.0	0.2	3.4
SC249388	SC249388	Ext.Control	PC01717	16.0	0.3	4.0
SC249386	SC249386	Study	PC01717	16.0	0.3	4.5
SC249446	SC249446	Ext.Control	PC01722	16.0	0.3	4.6
SC249363	SC249363	Ext.Control	PC01715	16.0	0.3	4.8
SC304938	SC304938	Ext.Control	PC05934	21.0	0.3	7.1
SC304928	SC304928	Ext.Control	PC05933	22.3	0.4	8.0
SC253191	SC253191	Ext.Control	PC01913	16.0	0.4	6.2
SC249434	SC249434	Ext.Control	PC01721	16.0	0.4	6.6
SC249383	SC249383	Ext.Control	PC01717	16.0	0.4	6.9
SC253853	SC253853	Ext.Control	PC02231	46.0	0.4	19.8
SC249358	SC249358	Ext.Control	PC01715	16.0	0.5	7.2
SC552991	SC552991	Ext.Control	PC21458	26.4	0.5	12.4
SC553004	SC553004	Ext.Control	PC21458	32.0	0.5	15.0
SC553052	SC553052	Ext.Control	PC21465	41.1	0.5	19.3
SC253185	SC253185	Ext.Control	PC01913	16.0	0.5	7.7
SC553036	SC553036	Ext.Control	PC21461	35.2	0.5	16.9
